name|genre|year|image|description
Youth in Revolt|action,Comedy|2010|-|description1
You Will Meet a Tall Dark Stranger|Comedy|2010|-|description2
When in Rome|Comedy|2010|-|description3
What Happens in Vegas|Comedy|2008|-|description4
Water For Elephants|Drama|2011|-|description5
WALL-E|Animation|2008|-|description6
Waitress|Romance|2007|-|description7
Waiting For Forever|Romance|2011|-|description8
Valentine's Day|Comedy|2010|-|description9
Tyler Perry's Why Did I get Married|Romance|2007|-|description10
Twilight: Breaking Dawn|Romance|2011|-|description11
Twilight|Romance|2008|-|description12
The Ugly Truth|Comedy|2009|-|description13
The Twilight Saga: New Moon|Drama|2009|-|description14
The Time Traveler's Wife|Drama|2009|-|description15
The Proposal|Comedy|2009|-|description16
The Invention of Lying|Comedy|2009|-|description17
The Heartbreak Kid|Comedy|2007|-|description18
The Duchess|Drama|2008|-|description19
The Curious Case of Benjamin Button|Fantasy|2008|-|description20
The Back-up Plan|Comedy|2010|-|description21
Tangled|Animation|2010|-|description22
Something Borrowed|Romance|2011|-|description23
Last Year On Planet Earth|Action|2018|-|description24
